rfc,title,year,tags,full_paths
RFC1,Host Software,1969,ncp,transport / ncp
RFC2,Host software,1969,ncp,transport / ncp
RFC3,Documentation conventions,1969,rfc-series,governance-and-process / rfc-series
RFC4,Network timetable,1969,time-synchronization,network-operations / time-synchronization
RFC5,Decode Encode Language (DEL),1969,arpanet,link-layer / arpanet
RFC6,Conversation with Bob Kahn,1969,arpanet,link-layer / arpanet
RFC7,Host-IMP interface,1969,arpanet,link-layer / arpanet
RFC8,ARPA Network Functional Specifications,1969,arpanet,link-layer / arpanet
RFC9,Host Software,1969,ncp,transport / ncp
RFC10,Documentation conventions,1969,rfc-series,governance-and-process / rfc-series
RFC11,Implementation of the Host - Host Software Procedures in GORDO,1969,ncp,transport / ncp
RFC12,IMP-Host interface flow diagrams,1969,arpanet,link-layer / arpanet
RFC13,Zero Text Length EOF Message,1969,arpanet,link-layer / arpanet
RFC15,Network subsystem for time sharing hosts,1969,arpanet,link-layer / arpanet
RFC16,M.I.T,1969,arpanet,link-layer / arpanet
RFC17,Some questions re: Host-IMP Protocol,1969,arpanet,link-layer / arpanet
RFC18,IMP-IMP and HOST-HOST Control Links,1969,arpanet;ncp,link-layer / arpanet | transport / ncp
RFC19,Two protocol suggestions to reduce congestion at swap bound nodes,1969,arpanet,link-layer / arpanet
RFC20,ASCII format for network interchange,1969,character-sets,applications-and-data-formats / internationalization / character-sets
RFC21,Network meeting,1969,arpanet,link-layer / arpanet
RFC22,Host-host control message formats,1969,ncp,transport / ncp
RFC23,Transmission of Multiple Control Messages,1969,arpanet,link-layer / arpanet
RFC24,Documentation Conventions,1969,rfc-series,governance-and-process / rfc-series
RFC25,No High Link Numbers,1969,arpanet,link-layer / arpanet
RFC27,Documentation Conventions,1969,rfc-series,governance-and-process / rfc-series
RFC28,Time Standards,1970,time-synchronization,network-operations / time-synchronization
RFC29,Response to RFC 28,1970,arpanet,link-layer / arpanet
RFC30,Documentation Conventions,1970,rfc-series,governance-and-process / rfc-series
RFC31,Binary Message Forms in Computer,1968,arpanet,link-layer / arpanet
RFC32,Some Thoughts on SRI's Proposed Real Time Clock,1970,arpanet,link-layer / arpanet
RFC33,New Host-Host Protocol,1970,ncp,transport / ncp
RFC34,Some Brief Preliminary Notes on the Augmentation Research Center Clock,1970,arpanet,link-layer / arpanet
RFC35,Network Meeting,1970,arpanet,link-layer / arpanet
RFC36,Protocol Notes,1970,arpanet,link-layer / arpanet
RFC37,"Network Meeting Epilogue, etc",1970,arpanet,link-layer / arpanet
RFC38,Comments on Network Protocol from NWG/RFC #36,1970,arpanet,link-layer / arpanet
RFC39,Comments on Protocol Re: NWG/RFC #36,1970,arpanet,link-layer / arpanet
RFC40,More Comments on the Forthcoming Protocol,1970,arpanet,link-layer / arpanet
